Date,Leg,Entry_Time,Strike,Sell_Price,Exit_Time,Exit_Price,Qty,Premium_Collected,PnL,Reason,Capital_After
2024-01-08,PE,10:18,21700,105.5,10:50,111.4,65,6857.5,-383.5,SL Hit (21671.5 <= 21672.4),186635.25
2024-01-08,PE,11:46,21650,101.1,11:50,108.05,65,6571.5,-451.75,SL Hit (21613.9 <= 21618.9),186183.5
2024-01-08,PE,12:36,21600,93.0,12:58,108.9,65,6045.0,-1033.5,SL Hit (21571.7 <= 21571.9),185150.0
2024-01-08,CE,11:14,21600,115.0,15:16,67.85,65,7475.0,3064.75,Settlement 15:15,188214.75
2024-01-09,CE,11:02,21700,87.85,11:09,96.65,65,5710.25,-572.0,SL Hit (21709.0 >= 21708.2),187642.75
2024-01-09,CE,12:14,21700,88.2,12:19,94.85,65,5733.0,-432.25,SL Hit (21703.4 >= 21701.6),187210.5
2024-01-09,PE,10:03,21650,90.3,14:20,98.35,65,5869.5,-523.25,SL Hit (21598.6 <= 21600.9),186687.25
2024-01-09,CE,13:18,21700,96.95,15:16,26.25,65,6301.75,4595.5,Settlement 15:15,191282.75
2024-01-10,CE,10:08,21500,93.0,10:18,121.45,65,6045.0,-1849.25,SL Hit (21568.0 >= 21560.5),189433.5
2024-01-10,PE,10:21,21550,73.3,12:45,121.2,65,4764.5,-3113.5,SL Hit (21479.5 <= 21498.7),186320.0
2024-01-10,PE,13:16,21500,67.6,13:36,83.0,65,4394.0,-1001.0,SL Hit (21488.3 <= 21489.0),185319.0
2024-01-10,CE,10:52,21550,65.95,14:38,84.1,65,4286.75,-1179.75,SL Hit (21565.0 >= 21558.8),184139.25
2024-01-10,PE,14:03,21500,54.8,15:16,15.0,65,3562.0,2587.0,Settlement 15:15,186726.25
2024-01-11,PE,10:17,21650,22.8,10:30,23.5,65,1482.0,-45.5,SL Hit (21655.7 <= 21655.7),186680.75
2024-01-11,PE,10:40,21650,18.95,10:54,31.85,65,1231.75,-838.5,SL Hit (21643.2 <= 21648.3),185842.25
2024-01-11,PE,11:21,21650,27.05,14:09,24.1,65,1758.25,191.75,SL Hit (21638.7 <= 21647.4),186034.0
2024-01-11,CE,10:06,21650,46.6,15:16,1.55,65,3029.0,2928.25,Settlement 15:15,188962.25
2024-01-12,CE,12:08,21800,162.65,12:54,182.0,65,10572.25,-1257.75,SL Hit (21848.3 >= 21847.9),187704.5
2024-01-12,CE,14:10,21900,145.1,14:31,160.55,65,9431.5,-1004.25,SL Hit (21903.8 >= 21900.7),186700.25
2024-01-12,CE,15:11,21900,135.05,15:16,142.5,65,8778.25,-484.25,Settlement 15:15,186216.0
2024-01-12,PE,10:18,21800,123.1,15:16,83.9,65,8001.5,2548.0,Settlement 15:15,188764.0
2024-01-15,CE,10:02,22000,130.35,12:09,160.65,65,8472.75,-1969.5,SL Hit (22060.2 >= 22060.0),186794.5
2024-01-15,CE,12:38,22050,125.7,13:18,135.75,65,8170.5,-653.25,SL Hit (22068.5 >= 22068.4),186141.25
2024-01-15,CE,13:36,22050,126.85,14:04,143.3,65,8245.25,-1069.25,SL Hit (22073.8 >= 22069.0),185072.0
2024-01-15,PE,10:34,22000,109.4,15:16,68.45,65,7111.0,2661.75,Settlement 15:15,187733.75
2024-01-16,PE,09:56,22100,108.85,13:00,130.5,65,7075.25,-1407.25,SL Hit (22044.4 <= 22048.8),186326.5
2024-01-16,PE,14:16,22050,97.6,14:35,105.25,65,6344.0,-497.25,SL Hit (22025.0 <= 22025.5),185829.25
2024-01-16,CE,11:24,22100,102.25,15:16,53.25,65,6646.25,3185.0,Settlement 15:15,189014.25
2024-01-17,PE,11:14,21750,78.15,11:16,82.25,65,5079.75,-266.5,SL Hit (21727.7 <= 21729.0),188747.75
2024-01-17,CE,10:04,21800,89.35,15:16,14.95,65,5807.75,4836.0,Settlement 15:15,193583.75
2024-01-17,PE,15:15,21600,88.75,15:16,92.0,65,5768.75,-211.25,Settlement 15:15,193372.5
2024-01-18,CE,10:00,21300,63.45,10:09,139.3,65,4124.25,-4930.25,SL Hit (21424.3 >= 21402.6),188442.25
